"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 13 19:26:27 IST 2020","Sun Dec 13 19:26:27 IST 2020","207","","Open the url","","Open the url","should verify the text ""A million more. With new and existing safety features, we are determined to save a million more lives.""","should verify the text ""A million more. With new and existing safety features, we are determined to save a million more lives.""",""
"passed","Mon Dec 14 01:06:32 IST 2020","Mon Dec 14 01:06:35 IST 2020","3407","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should click cars navigation button ","should click cars navigation button ",""
"passed","Sun Dec 13 19:26:28 IST 2020","Sun Dec 13 19:26:29 IST 2020","435","","Open the url","","Open the url","should verify the text ""A million more. With new and existing safety features, we are determined to save a million more lives.""","should verify the text ""A million more. With new and existing safety features, we are determined to save a million more lives.""",""
"passed","Mon Dec 14 01:51:14 IST 2020","Mon Dec 14 01:51:14 IST 2020","977","","Volvo Car Safety","","Volvo Car Safety","should click on Cookie Accept button and verify the title of the page","should click on Cookie Accept button and verify the title of the page",""
"passed","Mon Dec 14 01:06:21 IST 2020","Mon Dec 14 01:06:26 IST 2020","4365","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should close navigation panel","should close navigation panel",""
"passed","Mon Dec 14 01:06:26 IST 2020","Mon Dec 14 01:06:27 IST 2020","884","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should allow privacy Setting","should allow privacy Setting",""
"passed","Sun Dec 13 19:58:29 IST 2020","Sun Dec 13 19:58:30 IST 2020","762","","Open the url","","Open the url","should allow privacy Setting","should allow privacy Setting",""
"passed","Mon Dec 14 01:51:18 IST 2020","Mon Dec 14 01:51:26 IST 2020","8598","","Volvo Car Safety","","Volvo Car Safety","should click on watch the story button and video should run","should click on watch the story button and video should run",""
"passed","Sun Dec 13 19:26:19 IST 2020","Sun Dec 13 19:26:20 IST 2020","536","","Open the url","","Open the url","should click on Cookie Accept button and verify the title of the page","should click on Cookie Accept button and verify the title of the page",""
"passed","Sun Dec 13 19:26:18 IST 2020","Sun Dec 13 19:26:18 IST 2020","513","","Open the url","","Open the url","should click on Cookie Accept button and verify the title of the page","should click on Cookie Accept button and verify the title of the page",""
"passed","Mon Dec 14 01:06:26 IST 2020","Mon Dec 14 01:06:29 IST 2020","3319","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should click cars navigation button ","should click cars navigation button ",""
"passed","Mon Dec 14 01:06:26 IST 2020","Mon Dec 14 01:06:26 IST 2020","746","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should click on Cookie Settings button and verify the page","should click on Cookie Settings button and verify the page",""
"passed","Mon Dec 14 01:06:29 IST 2020","Mon Dec 14 01:06:32 IST 2020","3440","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should close cars navigation panel","should close cars navigation panel",""
"passed","Mon Dec 14 01:06:28 IST 2020","Mon Dec 14 01:06:32 IST 2020","4119","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should close navigation panel","should close navigation panel",""
"passed","Mon Dec 14 01:06:18 IST 2020","Mon Dec 14 01:06:26 IST 2020","7411","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should open the link ","should open the link ",""
"passed","Sun Dec 13 19:26:29 IST 2020","Sun Dec 13 19:26:30 IST 2020","1156","","Open the url","","Open the url","should verify the hyperlink and navigate to that link page","should verify the hyperlink and navigate to that link page",""
"passed","Sun Dec 13 19:58:37 IST 2020","Sun Dec 13 19:58:40 IST 2020","3150","","Open the url","","Open the url","should close cars navigation panel","should close cars navigation panel",""
"passed","Mon Dec 14 01:06:14 IST 2020","Mon Dec 14 01:06:19 IST 2020","4512","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should open the link ","should open the link ",""
"passed","Mon Dec 14 01:51:23 IST 2020","Mon Dec 14 01:51:23 IST 2020","281","","Volvo Car Safety","","Volvo Car Safety","should verify the text ""A million more. With new and existing safety features, we are determined to save a million more lives.""","should verify the text ""A million more. With new and existing safety features, we are determined to save a million more lives.""",""
"passed","Sun Dec 13 19:58:30 IST 2020","Sun Dec 13 19:58:34 IST 2020","3798","","Open the url","","Open the url","should close navigation panel","should close navigation panel",""
"passed","Mon Dec 14 01:06:20 IST 2020","Mon Dec 14 01:06:21 IST 2020","958","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should open right side Navigation Item ","should open right side Navigation Item ",""
"passed","Sun Dec 13 19:26:18 IST 2020","Sun Dec 13 19:26:27 IST 2020","8536","","Open the url","","Open the url","should click on watch the story button and video should run","should click on watch the story button and video should run",""
"passed","Sun Dec 13 19:58:28 IST 2020","Sun Dec 13 19:58:28 IST 2020","597","","Open the url","","Open the url","should open right side Navigation Item ","should open right side Navigation Item ",""
"passed","Mon Dec 14 01:06:32 IST 2020","Mon Dec 14 01:06:39 IST 2020","6231","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should scroll into Decades of Innovation Learn More and Click on it ","should scroll into Decades of Innovation Learn More and Click on it ",""
"passed","Sun Dec 13 19:58:34 IST 2020","Sun Dec 13 19:58:37 IST 2020","3222","","Open the url","","Open the url","should click cars navigation button ","should click cars navigation button ",""
"passed","Mon Dec 14 01:51:17 IST 2020","Mon Dec 14 01:51:18 IST 2020","649","","Volvo Car Safety","","Volvo Car Safety","should click on Cookie Accept button and verify the title of the page","should click on Cookie Accept button and verify the title of the page",""
"passed","Mon Dec 14 01:51:26 IST 2020","Mon Dec 14 01:51:27 IST 2020","895","","Volvo Car Safety","","Volvo Car Safety","should verify the hyperlink and navigate to that link page","should verify the hyperlink and navigate to that link page",""
"passed","Sun Dec 13 19:58:28 IST 2020","Sun Dec 13 19:58:29 IST 2020","699","","Open the url","","Open the url","should click on Cookie Settings button and verify the page","should click on Cookie Settings button and verify the page",""
"passed","Mon Dec 14 01:06:20 IST 2020","Mon Dec 14 01:06:20 IST 2020","387","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should allow privacy Setting","should allow privacy Setting",""
"passed","Sun Dec 13 19:58:27 IST 2020","Sun Dec 13 19:58:27 IST 2020","574","","Open the url","","Open the url","should click on Cookie Settings button and verify the page","should click on Cookie Settings button and verify the page",""
"passed","Mon Dec 14 01:06:39 IST 2020","Mon Dec 14 01:06:43 IST 2020","4060","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should scroll into Decades of Innovation Learn More and Click on it ","should scroll into Decades of Innovation Learn More and Click on it ",""
"passed","Mon Dec 14 01:51:26 IST 2020","Mon Dec 14 01:51:26 IST 2020","144","","Volvo Car Safety","","Volvo Car Safety","should verify the text ""A million more. With new and existing safety features, we are determined to save a million more lives.""","should verify the text ""A million more. With new and existing safety features, we are determined to save a million more lives.""",""
"passed","Sun Dec 13 19:58:30 IST 2020","Sun Dec 13 19:58:30 IST 2020","346","","Open the url","","Open the url","should open right side Navigation Item ","should open right side Navigation Item ",""
"passed","Mon Dec 14 01:06:35 IST 2020","Mon Dec 14 01:06:39 IST 2020","3386","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should close cars navigation panel","should close cars navigation panel",""
"passed","Sun Dec 13 19:58:22 IST 2020","Sun Dec 13 19:58:27 IST 2020","4357","","Open the url","","Open the url","should open the link ","should open the link ",""
"passed","Mon Dec 14 01:51:09 IST 2020","Mon Dec 14 01:51:14 IST 2020","4464","","Volvo Car Safety","","Volvo Car Safety","should open the link ","should open the link ",""
"passed","Mon Dec 14 01:06:19 IST 2020","Mon Dec 14 01:06:20 IST 2020","1025","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should click on Cookie Settings button and verify the page","should click on Cookie Settings button and verify the page",""
"passed","Sun Dec 13 19:26:27 IST 2020","Sun Dec 13 19:26:28 IST 2020","831","","Open the url","","Open the url","should verify the hyperlink and navigate to that link page","should verify the hyperlink and navigate to that link page",""
"passed","Mon Dec 14 01:06:27 IST 2020","Mon Dec 14 01:06:28 IST 2020","665","","Volvo Car Safety| A million more","","Volvo Car Safety| A million more","should open right side Navigation Item ","should open right side Navigation Item ",""
"passed","Sun Dec 13 19:58:28 IST 2020","Sun Dec 13 19:58:33 IST 2020","4309","","Open the url","","Open the url","should close navigation panel","should close navigation panel",""
"passed","Mon Dec 14 01:51:12 IST 2020","Mon Dec 14 01:51:17 IST 2020","4848","","Volvo Car Safety","","Volvo Car Safety","should open the link ","should open the link ",""
"passed","Mon Dec 14 01:51:14 IST 2020","Mon Dec 14 01:51:23 IST 2020","8512","","Volvo Car Safety","","Volvo Car Safety","should click on watch the story button and video should run","should click on watch the story button and video should run",""
"passed","Sun Dec 13 19:58:22 IST 2020","Sun Dec 13 19:58:28 IST 2020","6564","","Open the url","","Open the url","should open the link ","should open the link ",""
"passed","Sun Dec 13 19:58:27 IST 2020","Sun Dec 13 19:58:28 IST 2020","366","","Open the url","","Open the url","should allow privacy Setting","should allow privacy Setting",""
"passed","Sun Dec 13 19:26:20 IST 2020","Sun Dec 13 19:26:28 IST 2020","8652","","Open the url","","Open the url","should click on watch the story button and video should run","should click on watch the story button and video should run",""
"passed","Sun Dec 13 19:58:33 IST 2020","Sun Dec 13 19:58:36 IST 2020","3380","","Open the url","","Open the url","should click cars navigation button ","should click cars navigation button ",""
"passed","Mon Dec 14 01:51:23 IST 2020","Mon Dec 14 01:51:25 IST 2020","1791","","Volvo Car Safety","","Volvo Car Safety","should verify the hyperlink and navigate to that link page","should verify the hyperlink and navigate to that link page",""
"passed","Sun Dec 13 19:58:36 IST 2020","Sun Dec 13 19:58:39 IST 2020","3362","","Open the url","","Open the url","should close cars navigation panel","should close cars navigation panel",""
